block,index,romaji,jp,audio,english,mnemonic
1,43,atsui,暑い,あつい,hot (weather),"“AH, SWEATY!” It’s HOT. → atsui."
1,44,samui,寒い,さむい,cold (weather),"“SAM, ooh!” It’s COLD. → samui."
1,45,takai,高い,たかい,expensive / high,"That price is so HIGH you say, “TAKE? I can’t!” → takai."
1,46,yasui,安い,やすい,cheap,"“YES, we’ll buy it!” because it’s CHEAP. → yasui."
1,47,hayai,早い,はやい,early / fast,“HI-YA!” Move FAST! → hayai.
1,48,osoi,遅い,おそい,late / slow,"“OH, SO SLOW.” → osoi."
1,49,tanoshii,楽しい,たのしい,fun / enjoyable,"TANYA, SHE is having FUN. → tanoshii."
2,0,muzukashii,難しい,むずかしい,hard / difficult,“MUSIC? Gosh!” This is DIFFICULT. → muzukashii.
2,1,isogashii,忙しい,いそがしい,busy,“It’s SO GOSH…” BUSY! → isogashii.
2,2,genki,元気,げんき,well / energetic,GENKI sounds like a name for someone bursting with ENERGY. → genki.
2,3,kyou,今日,きょう,today,"“’Kay, YO — do it TODAY.” → kyou."
2,4,ashita,明日,あした,tomorrow,"“ASH, I’ll do that TOMORROW.” → ashita."
2,5,kinou,昨日,きのう,yesterday,“KEY? NO — I had it YESTERDAY.” → kinou.
2,6,ima,今,いま,now,“I’MA do it NOW.” → ima.
2,7,asa,朝,あさ,morning,“AS A morning person…” → asa.
2,8,hiru,昼,ひる,noon / daytime,“HERE at noon.” → hiru.
2,9,yoru,夜,よる,night,“YOU’RE up at NIGHT.” → yoru.
2,10,mainichi,毎日,まいにち,every day,“MY NICHE? I do it EVERY DAY.” → mainichi.
2,11,mada,まだ,まだ,still / not yet,"“MAD? Ah… STILL not ready, NOT YET.” → mada."
2,12,mou,もう,もう,already / anymore,“MO’ food? You ALREADY ate — no MORE!” (not mata/again) → mou.
2,13,koko,ここ,ここ,here,Call Coco: “COCO! HERE!” → koko.
2,14,soko,そこ,そこ,there,“Your SOCK-O is over THERE.” → soko.
2,15,asoko,あそこ,あそこ,over there,“A SOCK-O is way OVER THERE.” → asoko.
2,16,doko,どこ,どこ,where,“DOCO? WHERE did it go?” → doko.
2,17,ie,家,いえ,house / home,"“YEAH, I’m HOME.” → ie."
2,18,mise,店,みせ,shop / store,MISSY works at the SHOP. → mise.
2,19,eki,駅,えき,station,The E-key gets you through the train STATION. → eki.
2,20,gakkou,学校,がっこう,school,“GACK! Go to SCHOOL.” → gakkou.
2,21,toire,トイレ,といれ,toilet,TOI-RE sounds close to TOILET. → toire.
2,22,densha,電車,でんしゃ,train,DEN’s riding the TRAIN. → densha.
2,23,kuruma,車,くるま,car,The CREW are in my CAR. → kuruma.
2,24,mizu,水,みず,water,MIZZY always carries WATER. → mizu.
2,25,gohan,ご飯,ごはん,meal / rice,"“GO, HON — the MEAL is ready.” → gohan."
2,26,niku,肉,にく,meat,NICK eats MEAT. → niku.
2,27,sakana,魚,さかな,fish,A SACK full of tuna: FISH. → sakana.
2,28,yasai,野菜,やさい,vegetables,"“YES, I eat VEGETABLES.” → yasai."
2,29,kudamono,果物,くだもの,fruit,“COULD A MONkey eat all that FRUIT?” → kudamono.
2,30,koohii,コーヒー,こーひー,coffee,KO-OH-HEE sounds like COFFEE — it’s a loanword.
2,31,ocha,お茶,おちゃ,tea,"“OH, CHA!” CHA is TEA. → ocha."
2,32,nani,何,なに,what,"The NANNY asks, “WHAT?” → nani."
2,33,dare,誰,だれ,who,“DARE I ask WHO?” → dare.
2,34,itsu,いつ,いつ,when,“IT’S… WHEN?” → itsu.
2,35,doushite,どうして,どうして,why,“DOES SHE… WHY?” → doushite.
2,36,dou,どう,どう,how,“DO… HOW do I do it?” → dou.
2,37,ikura,いくら,いくら,how much,“EEK! Really?” at the price: HOW MUCH? → ikura.
2,38,hai,はい,はい,yes,Say “HI!” and YES at the same time. → hai.
2,39,iie,いいえ,いいえ,no,“EEE-EH… NO.” → iie.
2,40,arigatou,ありがとう,ありがとう,thank you,ARI GOT you a gift — say THANK YOU. → arigatou.
2,41,sumimasen,すみません,すみません,excuse me / sorry,"“SUE, ME? I said EXCUSE ME!” → sumimasen."
2,42,gomen,ごめん,ごめん,sorry (casual),"“GO, MEN — SORRY!” → gomen."
2,43,daijoubu,大丈夫,だいじょうぶ,okay / all right,"“DIE, JOE? Boo!” No — he’s OKAY. → daijoubu."
2,44,chotto,ちょっと,ちょっと,a little,A tiny SHOT-O: just A LITTLE. → chotto.
2,45,motto,もっと,もっと,more,Your MOTTO is “MORE!” → motto.
2,46,hontou,本当,ほんとう,really / true,"“HON, TRUE?” REALLY? → hontou."
2,47,tabun,多分,たぶん,probably / maybe,“That BUN? PROBABLY.” → tabun.
2,48,onegai,お願い,おねがい,please / request,ONE GUY keeps saying PLEASE. → onegai.
2,49,mata,また,また,again / also,Put the MAT down AGAIN (not mou/already). → mata.
3,0,mo,も,も,too / also,"""ME TOO!"" — add も after your name. → mo."
3,1,kesshite,決して,けっして,never,"""KETCHUP? NEVER on sushi!"" → kesshite."
3,2,soba,そば,そば,by / beside,Stand BY the SOBA shop door. → soba.
3,3,hito,人,ひと,person,"""HE told"" that PERSON. → hito."
3,4,owaru,終わる,おわる,end / finish,OWARU — END / finish → owaru.
3,5,ai,愛,あい,love,"""I"" LOVE you — AI (love). → ai."
3,6,sarani,さらに,さらに,more / furthermore,"""SIR, ANOTHER one?"" MORE, please. → sarani."
3,7,mitsukeru,見つける,みつける,find,MEET SUKI and you will FIND her. → mitsukeru.
3,8,shigoto,仕事,しごと,work / job,SHE GOes TO WORK. → shigoto.
3,9,totemo,とても,とても,very,"""TOTALLY!"" That is VERY true. → totemo."
3,10,saru,去る,さる,leave / go away,The monkey (saru) has to LEAVE. → saru.
3,11,kesu,消す,けす,erase / turn off,KESU — ERASE / turn off → kesu.
3,12,san,さん,さん,Mr. / Ms. (honorific),SUN rises for MR. Tanaka — add さん. → san.
3,13,sumanai,すまない,すまない,sorry,"""SO MAHNAI"" — I am SORRY. → sumanai."
3,14,tamesu,試す,ためす,try,TAME this — TRY it first. → tamesu.
3,15,hi,日,ひ,day,The sun (hi) marks each DAY. → hi.
3,16,douzo,どうぞ,どうぞ,please (offering),"""DOUGH, ZO!"" PLEASE, help yourself. → douzo."
3,17,mochiron,もちろん,もちろん,of course,MOCHI? Of COURSE! → mochiron.
3,18,doredemo,どれでも,どれでも,any (whichever),DORE DEMO — ANY (whichever) → doredemo.
3,19,dake,だけ,だけ,only,DAKE keeps ONLY one cookie. → dake.
3,20,matsu,待つ,まつ,wait,MATT waits. → matsu.
3,21,kara,から,から,because / from,KARA — BECAUSE / from → kara.
3,22,ni,二,に,two,Count to TWO: に. → ni.
3,23,beki,べき,べき,should,BACKY — you SHOULD do it. → beki.
3,24,tasukeru,助ける,たすける,help,TASK? I will HELP you. → tasukeru.
3,25,desae,でさえ,でさえ,even,DAY SAY EH — EVEN I can do it. → desae.
3,26,kikoeru,聞こえる,きこえる,hear / can hear,KEY GOES clear — you can HEAR it. → kikoeru.
3,27,kanjiru,感じる,かんじる,feel,CAN YOU FEEL it? → kanjiru.
3,28,takusan,たくさん,たくさん,much / many,TUCK SUN away — so MUCH stuff. → takusan.
3,29,okoru,起こる,おこる,happen,"OH, COR! What will HAPPEN? → okoru."
3,30,sama,様,さま,sir / lord (polite),SAMA bows to SIR. → sama.
3,31,jinsei,人生,じんせい,life,JIN (person) + SEI (generation) = LIFE. → jinsei.
3,32,kamoshirenai,かもしれない,かもしれない,might,CAMO? She RENAI — it MIGHT be hidden. → kamoshirenai.
3,33,kami,神,かみ,god,CAMI sees GOD in the shrine. → kami.
3,34,nandemo,何でも,なんでも,anything,NANI DEMO — ANYTHING goes. → nandemo.
3,35,korera,これら,これら,these,CORE ERA — THESE things here. → korera.
3,36,yoru,夜,よる,night,"""YOU are up at NIGHT."" → yoru."
3,37,tsuzukeru,続ける,つづける,keep / continue,TWO ZOO KEEPers CONTINUE working. → tsuzukeru.
3,38,atarashii,新しい,あたらしい,new,"At a RUSH, she buys a NEW one. → atarashii."
3,39,nanimo,何も,なにも,nothing,NANI MO — there is NOTHING. → nanimo.
3,40,oku,置く,おく,put,"""OK, PUT it on the table."" → oku."
3,41,toshi,年,とし,year,TOSH counts another YEAR. → toshi.
3,42,hairu,入る,はいる,enter / go into,HIGH! You are going INTO the room. → hairu.
3,43,tazuneru,尋ねる,たずねる,ask,TAZ NEAR you to ASK. → tazuneru.
3,44,saisho,最初,さいしょ,first,"SIGH, SHOW me the FIRST one. → saisho."
3,45,korosu,殺す,ころす,kill,CROW SUE — dark word for KILL. → korosu.
3,46,hoka,他,ほか,other,HOOK A different OTHER one. → hoka.
3,47,tomeru,止める,とめる,stop,"TOM, MERcy — STOP the car. → tomeru."
3,48,sugoi,すごい,すごい,great / amazing,SO GO! That is GREAT! → sugoi.
3,49,mae,前,まえ,before / in front,MAY I go BEFORE you? → mae.
4,0,mata,また,また,again / also,"""MAH, TA?"" — AGAIN? → mata."
4,1,mada,まだ,まだ,still / not yet,MADA is STILL not done. → mada.
4,2,uchi,うち,うち,home,"""OUCH, I'm HOME."" → uchi."
4,3,ko,子,こ,kid,KOala KID. → ko.
4,4,onnanoko,女の子,おんなのこ,girl,ONNA NO KO — that GIRL. → onnanoko.
4,5,otokonoko,男の子,おとこのこ,boy,OTOKO NO KO — that BOY. → otokonoko.
4,6,kuso,くそ,くそ,fuck / shit,KUSO — FUCK / shit → kuso.
4,7,sorera,それら,それら,those,"SORE, RA — THOSE over there. → sorera."
4,8,yori,より,より,than,YOGURT is better THAN milk — より. → yori.
4,9,atari,あたり,あたり,around,ATARI — AROUND here. → atari.
4,10,saigo,最後,さいご,last,"SIGH, GO — the LAST one. → saigo."
4,11,hanareru,離れる,はなれる,leave / separate,Leave / SEPARATE → hanareru.
4,12,tomodachi,友達,ともだち,friend,TOMO is my FRIEND. → tomodachi.
4,13,ee,えー,えー,uh,"""EH?"" — UH, let me think. → ee."
4,14,imamade,今まで,いままで,until now / so far,IMA MADE — until NOW / so FAR → imamade.
4,15,warui,悪い,わるい,bad,WARUI — that is BAD. → warui.
4,16,shinakya,しなきゃ,しなきゃ,must / have to,SHE NAH KYA — you MUST do it. → shinakya.
4,17,au,会う,あう,meet,"""AH, U MEET!"" → au."
4,18,ookii,大きい,おおきい,big,OH KEY — so BIG. → ookii.
4,19,ato,あと,あと,after,"""AH, TOO"" — AFTER that. → ato."
4,20,nagai,長い,ながい,long,"NAH, GAI — so LONG. → nagai."
4,21,basho,場所,ばしょ,place,BA SHOW me the PLACE. → basho.
4,22,shinjiru,信じる,しんじる,believe,"SHIN, JEER? I BELIEVE you. → shinjiru."
4,23,karera,彼ら,かれら,they / them,THEY / THEM → karera.
4,24,itsumo,いつも,いつも,always,EAT SO MO — ALWAYS. → itsumo.
4,25,zenbu,全部,ぜんぶ,everything,ZEN BU — EVERYTHING. → zenbu.
4,26,aitai,会いたい,あいたい,want to meet,Want to MEET → aitai.
4,27,fun,分,ふん,minute,One FUN MINUTE on the clock. → fun.
4,28,iine,いいね,いいね,nice,EE NE — NICE! → iine.
4,29,hajimeru,始める,はじめる,start,"HA, JIMMY — START! → hajimeru."
4,30,namae,名前,なまえ,name,"""NAME, eh?"" → namae."
4,31,okane,お金,おかね,money,"OKAY, NE? Need MONEY. → okane."
4,32,ugoku,動く,うごく,move,"YOU GO, KU — MOVE! → ugoku."
4,33,onna,女,おんな,woman,"""Oh, Nanna!"" — a WOMAN. → onna."
4,34,ippai,いっぱい,いっぱい,a lot / full,EAT PIE — a LOT. → ippai.
4,35,kiku,聞く,きく,listen / ask,KEY COOL — LISTEN up. → kiku.
4,36,todomaru,留まる,とどまる,stay,"TO DO, MARU — STAY put. → todomaru."
4,37,hashiru,走る,はしる,run,"HA, SHE RUNS. → hashiru."
4,38,yasashii,優しい,やさしい,kind,"YAS, A SHE — so KIND. → yasashii."
4,39,furui,古い,ふるい,old,FUR UI — OLD coat. → furui.
4,40,miseru,見せる,みせる,show,"ME, SEE RU — SHOW me. → miseru."
4,41,heiki,平気,へいき,fine / okay,"HEY, KEY — I'm FINE. → heiki."
4,42,kuruma,車,くるま,car,KURU MA — the CAR. → kuruma.
4,43,asobu,遊ぶ,あそぶ,play,"AH, SO BOO — let's PLAY! → asobu."
4,44,yaa,やあ,やあ,hello / hi,YAA — casual HELLO! → yaa.
4,45,mottekuru,持ってくる,もってくる,bring,"MO, TAKE, KURU — BRING it here. → mottekuru."
4,46,oboeru,覚える,おぼえる,remember,"OH, BO EH RU — REMEMBER this. → oboeru."
4,47,sumu,住む,すむ,live (reside),SOOM — I LIVE here. → sumu.
4,48,otousan,お父さん,おとうさん,dad / father,OTO-SAN — FATHER / dad. → otousan.
4,49,motsu,持つ,もつ,hold,MO TSU — HOLD it tight. → motsu.
5,0,yaa,やあ,やあ,hello / hi,"""YAA!"" — casual HI when you spot a friend. → yaa."
5,1,tootte,通って,とおって,through,TOO LATE — went THROUGH the tunnel. → tootte.
5,2,mai,毎,まい,every,MY niche — EVERY day. → mai (毎日 mai-nichi).
5,3,wakaru,分かる,わかる,understand,"When you don't understand: ""WAKA? nah…"" → wakaru."
5,4,san,三,さん,three,Count to THREE: san. → san.
5,5,akachan,赤ちゃん,あかちゃん,baby,Aka-CHAN — a BABY. → akachan.
5,6,ie,家,いえ,house / home,IE browser at the HOUSE. → ie.
5,7,te,手,て,hand,TAY — raise your HAND. → te.
5,8,machigai,間違い,まちがい,wrong,MACHI-GAI — that's WRONG. → machigai.
5,9,kamoshirenai,かもしれない,かもしれない,might,CAMO? She RENAI — it MIGHT be hidden. → kamoshirenai.
5,10,temoii,〜てもいい,〜てもいい,may (permission),TE MO II — you MAY do it. → temoii.
5,11,kokoro,心,こころ,mind / heart,COCO-RO — your MIND and heart. → kokoro.
5,12,otousan,お父さん,おとうさん,dad / father,OTO-SAN — DAD. → otousan.
5,13,mouhitotsu,もう一つ,もうひとつ,another,MOU HITOTSU — ANOTHER one. → mouhitotsu.
5,14,okee,オーケー,オーケー,OK,OKEE — OK → okee.
5,15,nakya,〜なきゃ,〜なきゃ,have to / gotta,~NAKYA — HAVE TO / gotta → nakya.
5,16,shitai,〜したい,〜したい,want to do,~SHITAI — WANT TO DO → shitai.
5,17,magaru,曲がる,まがる,turn,MAGA-rine truck has to TURN. → magaru.
5,18,juubun,十分,じゅうぶん,enough,JU-BUN — ENOUGH bread. → juubun.
5,19,makeru,負ける,まける,lose,MAKE-ru — you LOSE the game. → makeru.
5,20,okaasan,お母さん,おかあさん,mother,OKA-SAN — MOTHER. → okaasan.
5,21,jibunno,自分の,じぶんの,own,JI-BUN NO — your OWN thing. → jibunno.
5,22,mochiron,もちろん,もちろん,of course,MOCHI? Of COURSE! → mochiron.
5,23,kinisuru,気にする,きにする,care,KEY NEEDS SURE — I CARE. → kinisuru.
5,24,kuso,くそ,くそ,fuck / shit,KUSO — FUCK / shit → kuso.
5,25,atama,頭,あたま,head,A TAMA — on your HEAD. → atama.
5,26,dore,どれ,どれ,which,DO RE — WHICH one? → dore.
5,27,ateru,当てる,あてる,guess,A-TELL — take a GUESS. → ateru.
5,28,jigoku,地獄,じごく,hell,JI-GOKU — HELL. → jigoku.
5,29,heya,部屋,へや,room,"HEY, YA in the ROOM. → heya."
5,30,miru,見る,みる,see / watch,ME-RU — WATCH this. → miru.
5,31,sekai,世界,せかい,world,SAY-KAI — the WORLD. → sekai.
5,32,jibunjishin,自分自身,じぶんじしん,yourself,JI-BUN JI-SHIN — YOURSELF. → jibunjishin.
5,33,kowasu,壊す,こわす,break,KO-WASU — BREAK it. → kowasu.
5,34,tsugi,次,つぎ,next,TSU-GI — NEXT please. → tsugi.
5,35,shinda,死んだ,しんだ,dead,SHIN-DA — DEAD. → shinda.
5,36,hoka,他,ほか,other,HOOK A different OTHER one. → hoka.
5,37,suwaru,座る,すわる,sit,SUE-WARU — SIT down. → suwaru.
5,38,dareka,誰か,だれか,someone,DARE-KA — SOMEONE there? → dareka.
5,39,hontou,本当,ほんとう,really / true,HON-TOU — REAL talk. → hontou.
5,40,shigoto,仕事,しごと,work / job,SHE GOes TO WORK. → shigoto.
5,41,asa,朝,あさ,morning,AS A morning person… → asa.
5,42,e,え？,え,huh,EH? — HUH? → e.
5,43,mama,ママ,ママ,mom,MAMA — MOM. → mama.
5,44,kyou,今日,きょう,today,"""'Kay, YO — do it TODAY."" → kyou."
5,45,musuko,息子,むすこ,son,MUSU-KO — SON. → musuko.
5,46,wasureru,忘れる,わすれる,forget,WASU-RERU — FORGET it. → wasureru.
5,47,nomu,飲む,のむ,drink,NOM — take a DRINK. → nomu.
5,48,onaji,同じ,おなじ,same,O-NA-JI — the SAME. → onaji.
5,49,konya,今夜,こんや,tonight,KON-YA — TONIGHT. → konya.
6,0,yaru,やる,やる,do / give (casual),YA-RU — DO. → yaru.
6,1,omou,思う,おもう,think / feel,O-MOU — THINK. → omou.
6,2,aru,ある,ある,exist / have (things),A-RU — EXIST. → aru.
6,3,iru,いる,いる,exist / be (people/animals),I-RU — EXIST. → iru.
6,4,deru,出る,でる,go out / leave / come out,DE-RU — GO OUT. → deru.
6,5,ireru,入れる,いれる,put in / let in,I-RE-RU — PUT IN. → ireru.
6,6,dasu,出す,だす,take out / put out,DA-SU — TAKE OUT. → dasu.
6,7,kureru,くれる,くれる,give (to me/us),KU-RE-RU — GIVE (TO ME. → kureru.
6,8,naru,なる,なる,become,NA-RU — BECOME. → naru.
6,9,yameru,やめる,やめる,stop / quit,YA-ME-RU — STOP. → yameru.
6,10,hajimaru,始まる,はじまる,start / begin,HA-JI-MA-RU — START. → hajimaru.
6,11,tsuku,着く,つく,arrive,TSU-KU — ARRIVE. → tsuku.
6,12,noru,乗る,のる,ride / get on,N-O-RU — RIDE. → noru.
6,13,oriru,降りる,おりる,get off / go down,O-RI-RU — GET OFF. → oriru.
6,14,akeru,開ける,あける,open,"""A-KEY"" — OPEN the door. → akeru."
6,15,shimeru,閉める,しめる,close,SHI-ME-RU — CLOSE the door. → shimeru.
6,16,atsumeru,集める,あつめる,collect / gather,A-TSU-ME-RU — COLLECT. → atsumeru.
6,17,atsumaru,集まる,あつまる,gather / meet up,A-TSU-MA-RU — GATHER. → atsumaru.
6,18,kaesu,返す,かえす,return / give back,KAE-SU — RETURN. → kaesu.
6,19,kawaru,変わる,かわる,change,KA-WA-RU — CHANGE. → kawaru.
6,20,kaeru,変える,かえる,change something,“CARE to RETURN home?” → kaeru.
6,21,naosu,直す,なおす,fix / correct,N-AO-SU — FIX. → naosu.
6,22,naoru,直る,なおる,be fixed / get better,N-AO-RU — BE FIXED. → naoru.
6,23,wasureru,忘れる,わすれる,forget,WASU-RERU — FORGET it. → wasureru.
6,24,oboeru,覚える,おぼえる,remember / learn,"OH, BO EH RU — REMEMBER this. → oboeru."
6,25,oshieru,教える,おしえる,tell / teach,O-SHIE-RU — TELL. → oshieru.
6,26,narau,習う,ならう,learn (from someone),N-A-RAU — LEARN (FROM SOMEONE). → narau.
6,27,shiru,知る,しる,find out / come to know,SHI-RU — FIND OUT. → shiru.
6,28,kangaeru,考える,かんがえる,think / consider,KANGAERU — THINK → kangaeru.
6,29,kimeru,決める,きめる,decide,KI-ME-RU — DECIDE. → kimeru.
6,30,kimaru,決まる,きまる,be decided,KI-MA-RU — BE DECIDED. → kimaru.
6,31,erabu,選ぶ,えらぶ,choose,ERABU — CHOOSE / pick → erabu.
6,32,sagasu,探す,さがす,look for,SA-GA-SU — LOOK FOR. → sagasu.
6,33,mitsukaru,見つかる,みつかる,be found / find it,MI-TSU-KA-RU — BE FOUND. → mitsukaru.
6,34,miseru,見せる,みせる,show,"ME, SEE RU — SHOW me. → miseru."
6,35,tsutaeru,伝える,つたえる,tell / convey,TSU-TAE-RU — TELL. → tsutaeru.
6,36,yobu,呼ぶ,よぶ,call / invite,YO-BU — CALL. → yobu.
6,37,yomeru,読める,よめる,can read,YO-ME-RU — CAN READ. → yomeru.
6,38,warau,笑う,わらう,laugh,WA-RAU — LAUGH. → warau.
6,39,naku,泣く,なく,cry,N-A-KU — CRY. → naku.
6,40,okoru,怒る,おこる,get angry,"OH, COR! What will HAPPEN? → okoru."
6,41,odoroku,驚く,おどろく,be surprised,O-DO-RO-KU — BE SURPRISED. → odoroku.
6,42,komaru,困る,こまる,be in trouble / not know what to do,KOMARU — be in TROUBLE → komaru.
6,43,ganbaru,頑張る,がんばる,try hard / do one's best,GAN-BA-RU — TRY HARD. → ganbaru.
6,44,tetsudau,手伝う,てつだう,help out,TE-TSU-DAU — HELP OUT. → tetsudau.
6,45,tanomu,頼む,たのむ,ask / request / order,TAN-O-MU — ASK. → tanomu.
6,46,kotaeru,答える,こたえる,answer,KO-TAE-RU — ANSWER. → kotaeru.
6,47,shitsumon suru,質問する,しつもんする,ask a question,SHI-TSU-MON SU-RU — ASK A QUESTION. → shitsumon suru.
6,48,renraku suru,連絡する,れんらくする,contact,REN-RA-KU SU-RU — CONTACT. → renraku suru.
6,49,denwa suru,電話する,でんわする,call / phone,DEN-WA SU-RU — CALL. → denwa suru.
7,0,hanashi,話,はなし,story / talk,HA-NA-SHI — STORY. → hanashi.
7,1,koto,こと,こと,thing / matter (abstract),KO-TO — THING. → koto.
7,2,tokoro,ところ,ところ,place / point / part,TO-KO-RO — PLACE. → tokoro.
7,3,toki,時,とき,time / when,TO-KI — TIME. → toki.
7,4,hito,人,ひと,person,"""HE told"" that PERSON. → hito."
7,5,minna,みんな,みんな,everyone,MIN-NA — EVERYBODY. → minna.
7,6,dareka,誰か,だれか,someone,DARE-KA — SOMEONE. → dareka.
7,7,nanika,何か,なにか,something,N-AN-I-KA — SOMETHING. → nanika.
7,8,dore,どれ,どれ,which one,DO RE — WHICH one? → dore.
7,9,kore,これ,これ,this,KO-RE — THIS. → kore.
7,10,sore,それ,それ,that,SO-RE — THAT. → sore.
7,11,are,あれ,あれ,that over there,A-RE — THAT OVER THERE. → are.
7,12,kono,この,この,this + noun,KON-O — THIS + NOUN. → kono.
7,13,sono,その,その,that + noun,SONO — THAT / its → sono.
7,14,ano,あの,あの,that + noun / um,AN-O — THAT + NOUN. → ano.
7,15,donna,どんな,どんな,what kind of,DON-N-A — WHAT KIND OF. → donna.
7,16,konna,こんな,こんな,like this / this kind of,KON-N-A — LIKE THIS. → konna.
7,17,sonna,そんな,そんな,like that / that kind of,SON-NA — SUCH a thing. → sonna.
7,18,anna,あんな,あんな,like that over there,AN-N-A — LIKE THAT OVER THERE. → anna.
7,19,docchi,どっち,どっち,which / which way (casual),DO-CCHI — WHICH. → docchi.
7,20,kochira,こちら,こちら,this way / this person (polite),KO-CHI-RA — THIS WAY. → kochira.
7,21,sochira,そちら,そちら,that way / you (polite),SO-CHI-RA — THAT WAY. → sochira.
7,22,achira,あちら,あちら,over there (polite),A-CHI-RA — OVER THERE (POLITE). → achira.
7,23,doko ka,どこか,どこか,somewhere,DO-KO KA — SOMEWHERE. → doko ka.
7,24,doko demo,どこでも,どこでも,anywhere,DO-KO DE-MO — ANYWHERE. → doko demo.
7,25,dare demo,誰でも,だれでも,anyone,DARE-DEMO — ANYONE. → daredemo.
7,26,nan demo,何でも,なんでも,anything,NAN-DEMO — ANYTHING. → nandemo.
7,27,zenzen,全然,ぜんぜん,not at all / totally,ZEN-ZEN — NOT AT ALL. → zenzen.
7,28,zettai,絶対,ぜったい,definitely / absolutely,ZE-TTAI — DEFINITELY. → zettai.
7,29,yappari,やっぱり,やっぱり,as expected / after all,YA-PPA-RI — AS EXPECTED. → yappari.
7,30,yahari,やはり,やはり,as expected / after all,YA-HA-RI — AS EXPECTED. → yahari.
7,31,naruhodo,なるほど,なるほど,I see / makes sense,N-A-RU-HO-DO — I SEE. → naruhodo.
7,32,tashika,確か,たしか,if I remember right / certain,TA-SHI-KA — IF I REMEMBER RIGHT. → tashika.
7,33,tashikani,確かに,たしかに,indeed / true,TA-SHI-KAN-I — INDEED. → tashikani.
7,34,kanarazu,必ず,かならず,definitely / without fail,KAN-A-RA-ZU — DEFINITELY. → kanarazu.
7,35,kitto,きっと,きっと,surely / probably,KI-TTO — SURELY. → kitto.
7,36,moshikashite,もしかして,もしかして,maybe / could it be,MO-SHI-KA-SHI-TE — MAYBE. → moshikashite.
